,t + 1,t + 2,t + 3,Initial Balance,Lag Time,Final Balance,AZO,BAC,DPZ,GOOGL,MSFT,TGT
2021-09-30,2021-10-01,2021-10-04,2021-10-05,100000,3,100722.87,0.26398,0.20218,0.15333,0.38051,0.0,0.0
2021-10-05,2021-10-06,2021-10-07,2021-10-08,100722.87,3,102399.27,0.18409,0.26761,0.15453,0.3813,0.01246,0.0
2021-10-08,2021-10-11,2021-10-12,2021-10-13,102399.27,3,100991.43,0.19535,0.24782,0.15122,0.3981,0.00752,0.0
2021-10-13,2021-10-14,2021-10-15,2021-10-18,100991.43,3,104678.76,0.22026,0.22377,0.14267,0.35715,0.05615,0.0
2021-10-18,2021-10-19,2021-10-20,2021-10-21,104678.76,3,105642.72,0.21623,0.23838,0.09055,0.32289,0.09555,0.0364
2021-10-21,2021-10-22,2021-10-25,2021-10-26,105642.72,3,105958.42,0.24321,0.24622,0.09165,0.26296,0.14461,0.01134
2021-10-26,2021-10-27,2021-10-28,2021-10-29,105958.42,3,108518.69,0.23577,0.26821,0.08824,0.19893,0.18225,0.02661
2021-10-29,2021-11-01,2021-11-02,2021-11-03,108518.69,3,108863.64,0.17253,0.27458,0.09774,0.19335,0.23858,0.02321
2021-11-03,2021-11-04,2021-11-05,2021-11-08,108863.64,3,109241.12,0.17016,0.28998,0.09217,0.15582,0.27666,0.01522
2021-11-08,2021-11-09,2021-11-10,2021-11-11,109241.12,3,109542.87,0.20249,0.26403,0.09611,0.16207,0.27531,0.0
2021-11-11,2021-11-12,2021-11-15,2021-11-16,109542.87,3,110886.93,0.24804,0.24955,0.10475,0.15356,0.2441,0.0
2021-11-16,2021-11-17,2021-11-18,2021-11-19,110886.93,3,109873.41,0.24509,0.23121,0.11621,0.13678,0.25631,0.0144
2021-11-19,2021-11-22,2021-11-23,2021-11-24,109873.41,3,110207.05,0.22652,0.21913,0.13191,0.14375,0.27869,0.0
2021-11-24,2021-11-26,2021-11-29,2021-11-30,110207.05,3,106523.21,0.20087,0.26334,0.13866,0.11252,0.28461,0.0
2021-11-30,2021-12-01,2021-12-02,2021-12-03,106523.21,3,106208.95,0.23896,0.217,0.13771,0.11893,0.2874,0.0
2021-12-03,2021-12-06,2021-12-07,2021-12-08,106208.95,3,110414.61,0.29846,0.17734,0.13071,0.20199,0.1915,0.0
2021-12-08,2021-12-09,2021-12-10,2021-12-13,110414.61,3,110177.73,0.30807,0.16384,0.11423,0.20666,0.20721,0.0
2021-12-13,2021-12-14,2021-12-15,2021-12-16,110177.73,3,109663.41,0.29302,0.16677,0.11734,0.1584,0.26447,0.0
2021-12-16,2021-12-17,2021-12-20,2021-12-21,109663.41,3,108808.65,0.32808,0.18546,0.13275,0.22486,0.12885,0.0
2021-12-21,2021-12-22,2021-12-23,2021-12-27,108808.65,3,112237.33,0.3265,0.17157,0.13222,0.21759,0.15213,0.0
2021-12-27,2021-12-28,2021-12-29,2021-12-30,112237.33,3,112395.02,0.3227,0.1655,0.14198,0.17531,0.19451,0.0
2021-12-30,2021-12-31,,,112395.02,1,112424.53,0.34397,0.15871,0.14494,0.17254,0.17984,0.0
